Sub-Category,discount_band,sales,profit,order_lines,margin_pct
Accessories,0%,118370.31,35289.2539,471,29.812588900037518
Accessories,1-20%,49010.008,6647.3818,304,13.563315068220353
Appliances,0%,78066.19,23183.7361,271,29.697537563956942
Appliances,1-20%,26083.437,3583.9105,128,13.740177339359072
Appliances,40%+,3382.534,-8629.6412,67,-255.12356121180156
Art,0%,18014.64,5380.6006,498,29.867932970073227
Art,1-20%,9104.152,1147.1864,298,12.600694715993319
Binders,0%,81829.48,39314.4507,337,48.0443609075849
Binders,1-20%,85442.64,29417.809,573,34.42989238160244
Binders,40%+,36140.613,-38510.4964,613,-106.55739679899732
Bookcases,0%,31935.98,6075.7117,60,19.024660273459588
Bookcases,1-20%,54400.0175,1549.4937,98,2.848333091069318
Bookcases,21-30%,4282.698,-555.8726,10,-12.979495635695068
Bookcases,31-40%,14493.4588,-2391.1376999999998,27,-16.498047381208963
Bookcases,40%+,9767.842,-8150.7511,33,-83.4447475706507
Chairs,0%,91060.73,21933.0961,133,24.086229157178952
Chairs,1-20%,167382.871,11394.1869,326,6.807259806172161
Chairs,21-30%,70005.502,-6737.1167,158,-9.623696006065352
Copiers,0%,76449.18,35556.134900000005,22,46.5095046146996
Copiers,1-20%,56159.048,17878.7148,37,31.835858043747468
Copiers,31-40%,16919.802,2182.9752,9,12.901895660481133
Envelopes,0%,10606.45,4976.9844,152,46.924130128365285
Envelopes,1-20%,5869.952,1987.1923,102,33.853637985455414
Fasteners,0%,1822.84,652.2052,128,35.77961861710298
Fasteners,1-20%,1201.44,297.313,89,24.746387668131575
Furnishings,0%,61449.8,16847.9689,571,27.417451155251925
Furnishings,1-20%,23610.664,2155.8299,248,9.130746598232054
Furnishings,40%+,6644.7,-5944.6552,138,-89.46461390280976
Labels,0%,9239.56,4422.0960000000005,239,47.860460887747905
Labels,1-20%,3246.752,1124.158,125,34.6240796956466
Machines,0%,71034.0,27137.8223,29,38.2039900610975
Machines,1-20%,41365.523,5802.2867,33,14.026866528437218
Machines,21-30%,3756.3050000000003,326.0395,5,8.679793041299893
Machines,31-40%,19546.224000000002,-2666.8433999999997,13,-13.64377794913227
Machines,40%+,53536.579,-27214.5482,35,-50.833558490915166
Paper,0%,53157.87,25329.4677,857,47.64951586660639
Paper,1-20%,25321.336,8724.1016,513,34.45355963840139
Phones,0%,123879.71,34365.2093,311,27.74078927049474
Phones,1-20%,171789.992,16536.3067,469,9.625884783788804
Phones,31-40%,34337.352,-6385.7854,109,-18.59719817649305
Storage,0%,157853.76,25528.1715,530,16.17203891753988
Storage,1-20%,65989.848,-4249.3451,316,-6.439392162261079
Supplies,0%,31559.21,1718.3942,117,5.4449848396078355
Supplies,1-20%,15114.328,-2907.4937,73,-19.236671984358154
Tables,0%,71578.76,13276.2997,72,18.547820191352855
Tables,1-20%,45430.231999999996,-303.558,71,-0.6681850094888355
Tables,21-30%,25182.15,-3402.3276,54,-13.510870199724804
Tables,31-40%,45614.406,-16187.3968,75,-35.4874659553826
Tables,40%+,19159.984,-11108.4984,47,-57.97759747607305
