Sub-Category,sales,profit,order_lines,margin_pct
Tables,206965.532,-17725.4811,319,-8.564460433923848
Bookcases,114879.9963,-3472.556,228,-3.022768203205452
Supplies,46673.538,-1189.0995,190,-2.547695227218472
Fasteners,3024.28,949.5182,217,31.396504291930636
Machines,189238.631,3384.7569,115,1.788618360909618
Labels,12486.312,5546.254,364,44.41867222283089
Art,27118.792,6527.787,796,24.071083254740845
Envelopes,16476.402,6964.1767,254,42.26758184220075
Furnishings,91705.164,13059.1436,957,14.240357936658832
Appliances,107532.16100000001,18138.005400000002,466,16.86751687246386
Storage,223843.608,21278.8264,846,9.506113035847779
Chairs,328449.103,26590.1663,617,8.095673289142763
Binders,203412.733,30221.7633,1523,14.857360625502238
Paper,78479.206,34053.5693,1370,43.391837195702514
Accessories,167380.318,41936.6357,775,25.054699501765793
Phones,330007.054,44515.7306,889,13.489326988749763
Copiers,149528.03,55617.8249,68,37.195584600425754
